                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7716,                 4.8754,                 2.4805,                0.00079,                    0.1,                0.00055,                0.00027,                 2.8276,                 6.0628,                 2.3049,               6.25e-05,               6.25e-05,               6.25e-05
                      2,                 2.6431,                 4.9095,                 2.3279,                0.00368,                    0.2,                0.00475,                0.00142,                 2.4813,                 5.4974,                 2.3359,             0.00013737,             0.00013737,             0.00013737
                      3,                 2.4066,                 4.4004,                 2.0933,                0.01327,                    0.3,                0.20022,                0.05125,                 2.0819,                 4.9903,                 1.7317,             0.00021167,             0.00021167,             0.00021167
                      4,                  2.335,                   3.83,                 2.0053,                0.02532,                    0.4,                0.29016,                0.12199,                 1.6647,                 4.5246,                 1.4838,             0.00028498,             0.00028498,             0.00028498
                      5,                 2.3115,                 3.7277,                 1.8899,                 0.0625,                    0.5,                0.42691,                0.16403,                  1.691,                  4.077,                 1.4336,             0.00035686,             0.00035686,             0.00035686
                      6,                 2.3302,                  3.548,                 1.9812,                0.06579,                    0.5,                 0.4975,                0.23816,                 1.3493,                 3.6877,                 1.3062,              0.0004269,              0.0004269,              0.0004269
                      7,                 2.0518,                 3.3417,                 1.7672,                0.03653,                   0.75,                0.32418,                0.17445,                   1.58,                 3.6696,                 1.3844,             0.00049469,             0.00049469,             0.00049469
                      8,                 2.3084,                 3.3166,                  1.974,                0.83327,                    0.4,                0.42245,                0.21559,                 1.7453,                   3.63,                 1.4368,             0.00055982,             0.00055982,             0.00055982
                      9,                 2.2127,                 3.4624,                 1.9727,                0.65895,                    0.5,                0.55194,                0.24543,                 1.9063,                 3.5425,                 1.6336,             0.00062194,             0.00062194,             0.00062194
                     10,                 2.2403,                 3.3715,                  1.998,                0.58647,                    0.5,                0.51721,                 0.1967,                 1.6739,                 3.6812,                 1.5072,             0.00068067,             0.00068067,             0.00068067
                     11,                 2.1967,                 3.0287,                 1.9753,                0.70096,                0.47219,                0.51187,                0.22532,                 2.1065,                 3.1312,                 1.8142,             0.00073569,             0.00073569,             0.00073569
                     12,                  2.141,                 3.1356,                 1.9694,                0.78184,                0.38915,                0.59522,                0.28306,                 1.6982,                 3.1047,                 1.6215,             0.00078668,             0.00078668,             0.00078668
                     13,                 2.1158,                 3.2402,                 1.9589,                0.87667,                    0.5,                0.52632,                0.25168,                 1.9239,                 2.8715,                   2.06,             0.00083337,             0.00083337,             0.00083337
                     14,                 2.1107,                 2.9478,                 1.8925,                0.68911,                    0.5,                0.62223,                0.21081,                 1.9637,                 3.0903,                 1.8549,              0.0008755,              0.0008755,              0.0008755
                     15,                   2.22,                 3.1372,                 1.9253,                0.88058,                0.73691,                  0.895,                0.29345,                 2.0143,                 3.0151,                 1.7152,             0.00091283,             0.00091283,             0.00091283
                     16,                 2.2442,                 3.0727,                 1.9012,                0.77433,                   0.65,                0.67859,                0.24838,                 2.2059,                 2.8516,                 1.8771,              0.0009452,              0.0009452,              0.0009452
                     17,                 2.1865,                 2.9367,                 1.8826,                0.80261,                   0.65,                0.65859,                0.29466,                 2.0543,                 3.1673,                 1.9205,             0.00096279,             0.00096279,             0.00096279
                     18,                 2.2843,                 3.0519,                  1.995,                0.62435,                   0.75,                0.65736,                0.31639,                 2.0914,                 3.5619,                 1.7712,             0.00096279,             0.00096279,             0.00096279
                     19,                 2.1369,                 2.9688,                 1.8611,                0.91502,                   0.55,                0.66991,                0.25691,                 2.1538,                 2.8892,                 1.9303,             0.00092934,             0.00092934,             0.00092934
                     20,                 2.1691,                 2.8793,                 1.9677,                0.42581,                0.71373,                0.60789,                0.20986,                 2.2074,                 3.1136,                 2.0988,              0.0008947,              0.0008947,              0.0008947
                     21,                 2.1521,                  2.941,                 1.9324,                0.89206,                    0.9,                 0.9175,                0.34921,                 1.8234,                 2.6614,                 1.8002,             0.00085903,             0.00085903,             0.00085903
                     22,                 2.2478,                 2.9563,                 2.0008,                0.85123,                    0.8,                0.87714,                0.37619,                 1.5326,                 2.7374,                 1.6195,             0.00082245,             0.00082245,             0.00082245
                     23,                  2.167,                 2.7847,                  1.906,                0.66785,                    0.9,                0.89083,                0.40597,                 1.5464,                  2.818,                 1.6176,             0.00078513,             0.00078513,             0.00078513
                     24,                 2.0516,                 2.6127,                 1.8894,                0.47267,                 0.6949,                0.64596,                0.34628,                 1.8831,                 2.2669,                 1.7899,             0.00074719,             0.00074719,             0.00074719
                     25,                 2.1452,                 2.7762,                 1.9395,                 0.6135,                   0.75,                0.60458,                0.28716,                 2.0251,                 2.0393,                 1.9161,              0.0007088,              0.0007088,              0.0007088
                     26,                 2.1219,                 2.7264,                 1.9608,                0.83318,                    0.8,                0.91167,                0.40266,                 2.0456,                 2.2309,                 1.9297,              0.0006701,              0.0006701,              0.0006701
                     27,                 2.0992,                 2.7427,                 1.8612,                0.79946,                0.78007,                 0.9375,                0.46697,                 1.9362,                 2.2178,                 1.8502,             0.00063125,             0.00063125,             0.00063125
                     28,                 2.1042,                 2.7591,                 1.8729,                0.70021,                    0.9,                0.82556,                0.35399,                 1.8518,                 2.0667,                 1.7325,              0.0005924,              0.0005924,              0.0005924
                     29,                 1.9878,                 2.5397,                 1.8029,                0.74299,                0.89447,                0.85333,                0.35047,                 1.7296,                 1.9886,                 1.6695,              0.0005537,              0.0005537,              0.0005537
                     30,                 2.0838,                  2.639,                 1.8155,                 0.6393,                      1,                0.91167,                0.39882,                 1.7197,                 1.9842,                 1.5789,             0.00051531,             0.00051531,             0.00051531
                     31,                  2.052,                 2.4839,                 1.8406,                0.83662,                      1,                0.97833,                0.39971,                 1.7145,                 2.0107,                 1.5369,             0.00047737,             0.00047737,             0.00047737
                     32,                  2.074,                 2.4373,                 1.8052,                0.83152,                      1,                  0.995,                0.49349,                 1.6189,                 1.9181,                 1.4254,             0.00044005,             0.00044005,             0.00044005
                     33,                  1.984,                 2.5473,                 1.7826,                0.80276,                0.99332,                  0.995,                0.47365,                 1.5987,                 1.8187,                 1.4178,             0.00040347,             0.00040347,             0.00040347
                     34,                 2.1197,                 2.6109,                 1.8791,                0.97405,                0.97086,                  0.995,                 0.4634,                 1.6812,                 1.7334,                  1.491,              0.0003678,              0.0003678,              0.0003678
                     35,                 1.9569,                 2.4785,                 1.8174,                0.89014,                0.95842,                  0.995,                0.47084,                 1.7201,                 1.6985,                 1.5226,             0.00033316,             0.00033316,             0.00033316
                     36,                 1.9951,                 2.4669,                 1.8106,                0.88274,                0.97411,                  0.995,                0.42691,                 1.8796,                 1.4934,                 1.6249,             0.00029971,             0.00029971,             0.00029971
                     37,                 1.9442,                 2.4218,                 1.7251,                0.94323,                    0.9,                0.97833,                0.42149,                 1.9039,                 1.4668,                 1.6379,             0.00026756,             0.00026756,             0.00026756
                     38,                 1.9519,                 2.2518,                 1.7758,                0.97362,                    0.9,                0.97833,                0.44868,                 1.8465,                 1.4866,                 1.6087,             0.00023684,             0.00023684,             0.00023684
